序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,900957,凌云B股,-0.0115,88147215.38,-28.20306528,-13.9485,-4016467.85,-109.9719956,-399.6672,1.711799705,-0.67,0.104457162,35.86479639,电力行业,2025/4/24
2,688755,汉邦科技,1.2,690884675.8,11.61101139,,79338245.16,54.06246373,,11.2065615,11.51,1.967833907,42.49130344,,2025/4/24
3,688739,成大生物,0.83,1676241144,-4.220433934,-11.48,342821554.3,-26.42,-88.0135,22.96186325,3.59,1.202928146,82.93784839,生物制品,2025/4/24
4,688630,芯碁微装,1.23,953942795.2,15.0915797,-12.0832,160695258.4,-10.38,-89.6667,15.6565232,7.91,-0.543108334,36.97732646,专用设备,2025/4/24
5,688578,艾力斯,3.18,3557930156,76.29377148,7.0481,1429847079,121.97,-9.811,11.73958499,29.26,3.480029914,95.96715447,化学制药,2025/4/24
6,688517,金冠电气,0.67,657866788.6,15.1352316,23.2238,91120320.83,12.74,64.5862,5.964826445,11.36,1.286761953,32.53641595,电网设备,2025/4/24
7,688398,赛特新材,0.46,933535638.1,11.16098745,22.7919,77163524.57,-27.27,9.4616,6.083688074,6.75,0.391200897,29.1174451,化学制品,2025/4/24
8,688312,燕麦科技,0.66,497576855.9,52.20487468,-26.8772,96306101,40.46,-38.1932,9.837076525,6.99,0.258179613,49.33353827,专用设备,2025/4/24
9,688273,麦澜德,1.0309,424549436.3,24.56534345,-8.0461,101581195.1,13.1,-76.5146,13.1220192,7.59,1.225081384,71.96129154,医疗器械,2025/4/24
10,688151,华强科技,0.07,611348070.8,6.73850926,164.3441,22527856.96,184.26,-631.2752,12.19093398,0.54,-0.399857933,16.31865212,专用设备,2025/4/24
11,688126,沪硅产业,-0.353,3387611695,6.184694857,-0.0119,-970537082,-620.28,-193.4731,4.477053819,-7.07,-0.286737191,-8.978814176,半导体,2025/4/24
12,688112,鼎阳科技,0.7,497404784.1,2.933759156,9.068,112109864.6,-27.79,-38.3833,9.631138946,7.24,0.741539349,61.07084705,仪器仪表,2025/4/24
13,688073,毕得医药,1.32,1102010334,0.929769843,4.1057,117426163.5,7.17,4.8648,22.30476132,5.78,1.741940694,41.33272223,生物制品,2025/4/24
14,688036,传音控股,4.9,68715278820,10.30646877,4.6134,5548950467,0.22,56.4965,17.74047266,28.35,2.497287119,21.28208699,消费电子,2025/4/24
15,688022,瀚川智能,-6.27,473967699.2,-64.61430412,-86.0247,-1102988258,-1204.76,-320.2802,3.700562007,-91.03,-1.074312656,-6.003753453,专用设备,2025/4/24
16,605389,长龄液压,0.66,883496556.6,9.572226499,-1.4091,94733400.62,-6.84,-88.0994,14.55570442,4.49,0.53781103,25.39668038,工程机械,2025/4/24
17,605183,确成股份,1.32,2197430697,21.38101125,-0.0355,540809423.8,31.1,37.4419,8.017600934,17.13,1.407376818,33.94739464,橡胶制品,2025/4/24
18,605003,众望布艺,0.73,550542295.9,19.1488202,22.0234,80365243.95,-74.4,-38.3826,13.03486469,5.69,0.603991418,33.53520638,纺织服装,2025/4/24
19,603683,晶华新材,0.26,1884997360,20.94430817,4.674,67033856.08,18.5,-99.8358,5.068548189,5.15,1.052183689,17.09285101,化学制品,2025/4/24
20,603601,再升科技,0.0888,1475716983,-10.86756306,9.9623,90752790.59,137.99,-100.8367,2.043482794,4.18,0.21919041,21.96362869,玻璃玻纤,2025/4/24
21,603585,苏利股份,-0.06,2308972709,17.91250799,9.5727,-10846972.54,-154.03,-1031.9226,12.75740612,-0.44,-0.226944311,12.20473969,农药兽药,2025/4/24
22,603579,荣泰健康,1.11,1596868349,-13.91681682,27.4465,191945865.2,-5.31,58.5666,11.11294448,9.64,0.947912055,31.68023497,家电行业,2025/4/24
23,603329,上海雅仕,0.27,5031740309,99.69846479,12.3027,42467103.5,334.31,-44.7398,7.048025399,3.84,-2.896466511,4.710419478,物流行业,2025/4/24
24,603324,盛剑科技,0.82,1450997410,-20.53675029,38.5162,119895227.8,-27.53,12.7105,11.24977303,7.31,-0.689950382,28.77207304,环保行业,2025/4/24
25,603317,天味食品,0.5926,3476251642,10.4076284,24.0075,624635066,36.77,3.5598,4.292840896,14.43,0.770215237,39.78081835,食品饮料,2025/4/24
26,603296,华勤技术,2.89,1.09878E+11,28.75549432,-7.4957,2926223275,8.1,15.5452,22.19063496,13.56,1.354234081,9.301905919,消费电子,2025/4/24
27,603271,永杰新材,2.17,8111357795,24.71493551,6.7703,319444947.2,34.28,16.347,11.36083206,21.07,0.925955102,8.730496919,有色金属,2025/4/24
28,603260,合盛硅业,1.48,26692250312,0.408851667,-10.9603,1740476560,-33.64,-39.965,27.78790831,5.35,3.820873249,20.54326463,非金属材料,2025/4/24
29,603257,中国瑞林,1.69,2475597183,-13.62598432,,152017769.6,2.62,,20.88994492,8.29,1.916173318,18.29715373,工程咨询服务,2025/4/24
30,603236,移远通信,2.23,18594055889,34.14487445,7.0258,588224476,548.49,57.2256,15.42803782,15.28,2.766038167,17.61000254,通信设备,2025/4/24
31,603002,宏昌电子,0.04,2144384497,-4.286650306,-4.6029,50606364.59,-41.59,19.8848,3.035708266,1.47,0.060068284,6.808808952,电子化学品,2025/4/24
32,601968,宝钢包装,0.15,8318305862,7.18829361,-0.0913,172384676.9,-21.13,-75.7106,3.504899647,4.39,0.927116685,8.096702208,包装材料,2025/4/24
